modelo_filtro,brand,model,version,price_main_text,price_main,precio_de_campania_p,bono_directo,bono_financiamiento,cotizar_url,personalizar_url
Impreza,SUBARU,IMPREZA,2.0I AWD CVT,$21.490.000*,21490000,23390000,800000,1100000,https://www.subaru.cl/formulario/cotizacion/?id_model=IMP001,https://www.subaru.cl/configurador/
Impreza,SUBARU,IMPREZA,2.0I AWD CVT DYNAMIC EYESIGHT,$23.790.000*,23790000,25390000,600000,1000000,https://www.subaru.cl/formulario/cotizacion/?id_model=,https://www.subaru.cl/configurador
Impreza,SUBARU,IMPREZA,2.0I AWD CVT TOURING ES HK,$26.790.000*,26790000,28390000,600000,1000000,https://www.subaru.cl/formulario/cotizacion/?id_model=IMP001&id_version=IMP 6011,https://www.subaru.cl/configurador
Crosstrek,SUBARU,CROSSTREK,2.0I AWD CVT,$23.490.000*,23490000,25990000,1000000,1500000,https://www.subaru.cl/formulario/cotizacion/?id_model=CRTK1000&id_version=CRTK1000,https://www.subaru.cl/configurador/trim-levels/su_crt020/specificationPack
Crosstrek,SUBARU,CROSSTREK,2.0I AWD CVT DYNAMIC ES,$27.890.000*,27890000,30090000,700000,1500000,https://www.subaru.cl/formulario/cotizacion/?id_model=CRTK1000&id_version=CRTK1005,https://www.subaru.cl/configurador/trim-levels/su_crt020/specificationPack
Crosstrek,SUBARU,CROSSTREK,2.0I AWD CVT TOURING EYESIGHT HK 360,$31.390.000*,31390000,32590000,200000,1000000,https://www.subaru.cl/formulario/cotizacion/?id_model=CRTK1000&id_version=CRTK1022,https://www.subaru.cl/configurador/trim-levels/su_crt020/specificationPack
Crosstrek Híbrido,SUBARU,CROSSTREK HÍBRIDO,2.0I HYBRID AWD CVT TOURING ES,$32.790.000*,32790000,34490000,500000,1200000,https://www.subaru.cl/formulario/cotizacion/?id_model=CRTK1000&id_version=CRTK1015,https://www.subaru.cl/configurador/trim-levels/su_crt020/specificationPack
All New Forester,SUBARU,ALL NEW FORESTER,2.5 AWD CVT XS ES,$29.990.000*,29990000,31490000,,1500000,https://www.subaru.cl/formulario/cotizacion/?id_model=ALNWFOR&id_version=FOR+8000,https://www.subaru.cl/product-list-page
All New Forester,SUBARU,ALL NEW FORESTER,2.5 AWD CVT DYNAMIC ES,$34.090.000*,34090000,35590000,,1500000,https://www.subaru.cl/formulario/cotizacion/?id_model=ALNWFOR&id_version=FOR+8005,https://www.subaru.cl/product-list-page
All New Forester,SUBARU,ALL NEW FORESTER,2.5 AWD CVT SPORT ES,$35.090.000*,35090000,36590000,,1500000,https://www.subaru.cl/formulario/cotizacion/?id_model=ALNWFOR&id_version=FOR+8010,https://www.subaru.cl/product-list-page
All New Forester,SUBARU,ALL NEW FORESTER,2.5 AWD CVT TOURING ES,$37.990.000*,37990000,38990000,,1000000,https://www.subaru.cl/formulario/cotizacion/?id_model=ALNWFOR&id_version=FOR+8015,https://www.subaru.cl/product-list-page
All New Forester Strong Hybrid,SUBARU,ALL NEW FORESTER STRONG HYBRID,2.5 HEV AWD CVT ADVENTURE ES,$41.490.000*,41490000,42990000,,1500000,https://www.subaru.cl/formulario/cotizacion/?id_model=ALNWFORHYB&id_version=FOR+8020,https://www.subaru.cl/product-list-page
All New Forester Strong Hybrid,SUBARU,ALL NEW FORESTER STRONG HYBRID,2.5 HEV AWD CVT TOURING ES,$43.490.000*,43490000,44990000,,1500000,https://www.subaru.cl/formulario/cotizacion/?id_model=ALNWFORHYB&id_version=FOR+8025,https://www.subaru.cl/product-list-page
Outback,SUBARU,OUTBACK,2.5I AWD CVT XS,$30.890.000*,30890000,31990000,,1100000,https://www.subaru.cl/formulario/cotizacion/?id_model=OBK+0702&id_version=OBK+0702,https://www.subaru.cl/configurador/trim-levels/su_obk020/specificationPack
